"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R2","_0805","148mm","112mm","148mm","112mm","148.875mm","112mm","T","180.00","100k"
"R1","_0805","170.9mm","106.7mm","170.9mm","106.7mm","170.9mm","105.825mm","T","90.00","470k"
"Q3","SOT23-3","101.6mm","14.7mm","101.6mm","14.7mm","102.975mm","13.75mm","T","90.00","MMUN2233"
"Q2","TO252-3N","132.0052mm","118.2404mm","132mm","119.5mm","129.7252mm","114.9904mm","T","90.00","DMP4015SK3"
"Q1","SOT23-3","165.5mm","41.5mm","165.5mm","41.5mm","166.875mm","40.55mm","T","90.00","MMUN2233"
"LED7","_0805+","143mm","2.5mm","143mm","2.5mm","143.875mm","2.5mm","T","180.00","0805YLW"
"LED6","_0805+","157mm","2.5mm","157mm","2.5mm","157.875mm","2.5mm","T","180.00","0805YLW"
"LED5","_0805+","150mm","2.5mm","150mm","2.5mm","150.875mm","2.5mm","T","180.00","0805GRN"
"LED4","_0805+","164mm","2.5mm","164mm","2.5mm","164.875mm","2.5mm","T","180.00","0805GRN"
"LED3","_0805+","171mm","2.5mm","171mm","2.5mm","171.875mm","2.5mm","T","180.00","0805BLU"
"LED2","_0805+","178mm","2.5mm","178mm","2.5mm","178.875mm","2.5mm","T","180.00","0805RED"
"L1","_0805","133.4mm","36.1mm","133.4mm","36.1mm","133.4mm","35.225mm","T","90.00","FR120R"
"D4","SOD-323_(MicroMELF)","60.2mm","114.9mm","60.2mm","114.9mm","61.45mm","114.9mm","T","180.00","RB751V40T1G"
"D3","SOD-323_(MicroMELF)","97.9mm","14.7mm","97.9mm","14.7mm","97.9mm","13.45mm","T","90.00","BAT54WS"
"D2","SOT23-6","97.5mm","111.5mm","97.5mm","111.5mm","98.875mm","110.55mm","T","90.00","BAS21VD"
"D1","SOD-323_(MicroMELF)","154.5mm","45mm","154.5mm","45mm","155.75mm","45mm","T","180.00","BAT54WS"
"C49","_0805","57mm","111mm","57mm","111mm","57mm","111.875mm","T","270.00","100n"
